run	fitness	noise_removal	signal_preservation	phase_coherence	speed	consciousness	encoding_entropy	transfer_score	frequency_transfer	online_retention	catastrophic_forgetting	temporal_separation	carrier_emergence	xi_robustness_v2	total_ms
L5	0.161205	1.0000	1.0000	0.5377	0.7292	0.9148	1.0000	0.627601	0.9903	1.0000	1.0000	1.0000	0.5489	0.7377	118674
L5	0.214922	1.0000	1.0000	0.5713	0.8018	0.9475	1.0000	0.505496	0.9999	1.0000	1.0000	1.0000	0.4648	0.5258	82308
hyp-freq0.5hz.t1	0.100664	1.0000	1.0000	0.9701	0.9945	0.9725	1.0000	0.835512	1.0000	1.0000	1.0000	1.0000	0.9348	0.5474	4627
hyp-freq0.5hz.t2	0.051685	1.0000	1.0000	0.9701	0.9945	0.9725	1.0000	0.835511	1.0000	1.0000	1.0000	1.0000	0.9348	0.8740	4562
hyp-freq0.5hz.t3	0.144343	1.0000	1.0000	0.9701	0.9947	0.9725	1.0000	0.835512	1.0000	1.0000	1.0000	1.0000	0.9348	0.2562	4542
L5	0.119608	1.0000	1.0000	0.5886	0.7662	0.8196	1.0000	0.694395	0.9969	1.0000	1.0000	1.0000	0.5842	0.9252	75638
L5	0.136717	1.0000	1.0000	0.5886	0.7651	0.8196	1.0000	0.694395	0.9969	1.0000	1.0000	1.0000	0.5842	0.8113	74443
L5	0.140124	1.0000	1.0000	0.6129	0.7627	0.8196	1.0000	0.655202	0.9974	1.0000	1.0000	1.0000	0.5842	0.8247	56155
hyp-ksweep.K0.5-t1	0.128570	1.0000	1.0000	0.5029	0.7283	0.9248	1.0000	0.680519	0.9947	1.0000	1.0000	1.0000	0.5489	0.9023	112677
hyp-ksweep.K0.5-t2	0.189772	1.0000	1.0000	0.5377	0.7246	0.9148	1.0000	0.627601	0.9903	1.0000	1.0000	1.0000	0.5489	0.5482	118454
hyp-ksweep.K0.5-t3	0.118166	1.0000	1.0000	0.5029	0.7291	0.9248	1.0000	0.680519	0.9947	1.0000	1.0000	1.0000	0.5489	0.9715	113407
L5	0.129310	1.0000	1.0000	0.5029	0.7273	0.9248	1.0000	0.680519	0.9947	1.0000	1.0000	1.0000	0.5489	0.8975	112098
L5	0.185341	1.0000	1.0000	0.5029	0.7279	0.9248	1.0000	0.680519	0.9947	1.0000	1.0000	1.0000	0.5489	0.5239	112578
L5	0.166397	1.0000	1.0000	0.5029	0.7264	0.9248	1.0000	0.690034	0.9938	1.0000	1.0000	1.0000	0.5489	0.6415	112201
L5	0.160664	1.0000	1.0000	0.5440	0.9099	0.8297	1.0000	0.643348	0.9834	1.0000	1.0000	1.0000	0.2761	0.8921	46486
L5	0.151797	1.0000	1.0000	0.5808	0.9352	0.8679	1.0000	0.609151	0.9999	1.0000	1.0000	1.0000	0.5059	0.8036	25371
L5	0.114404	1.0000	1.0000	0.5029	0.8770	0.9248	1.0000	0.680519	0.9947	1.0000	1.0000	1.0000	0.5489	0.9670	50646
L5	0.190362	1.0000	1.0000	0.5377	0.8778	0.9148	1.0000	0.627601	0.9903	1.0000	1.0000	1.0000	0.5489	0.5136	52743
L5	0.135969	1.0000	1.0000	0.5377	0.8784	0.9148	1.0000	0.627601	0.9903	1.0000	1.0000	1.0000	0.5489	0.8762	53536
L5	0.121259	1.0000	1.0000	0.5029	0.8623	0.9248	1.0000	0.690034	0.9938	1.0000	1.0000	1.0000	0.5489	0.9153	55918
L5	0.139218	1.0000	1.0000	0.5377	0.8646	0.9148	1.0000	0.627601	0.9903	1.0000	1.0000	1.0000	0.5489	0.8572	58643
L5	0.139895	1.0000	1.0000	0.5377	0.8635	0.9148	1.0000	0.627601	0.9903	1.0000	1.0000	1.0000	0.5489	0.8530	57772
L5	0.136071	1.0000	1.0000	0.5029	0.8914	0.9248	1.0000	0.680519	0.9947	1.0000	1.0000	1.0000	0.5489	0.8196	46547
L5	0.118347	1.0000	1.0000	0.5029	0.8806	0.9248	1.0000	0.690034	0.9938	1.0000	1.0000	1.0000	0.5489	0.9310	48929
L5	0.146484	1.0000	1.0000	0.5377	0.8859	0.9148	1.0000	0.627601	0.9903	1.0000	1.0000	1.0000	0.5489	0.8045	52226
L5	0.179412	1.0000	1.0000	0.6871	0.8786	0.8326	1.0000	0.706831	0.9904	1.0000	1.0000	1.0000	0.5588	0.4971	51095
L5	0.293167	1.0000	1.0000	0.6980	0.8911	0.8771	1.0000	0.382213	0.9997	1.0000	1.0000	1.0000	0.3154	0.2065	27901
L5	0.171729	1.0000	1.0000	0.6678	0.8712	0.8343	1.0000	0.319801	0.9768	1.0000	1.0000	1.0000	0.4925	0.9923	55361
L5	0.224781	1.0000	1.0000	0.6678	0.8731	0.8343	1.0000	0.320303	0.9768	1.0000	1.0000	1.0000	0.4925	0.6378	54904
L5	0.158299	1.0000	1.0000	0.5886	0.7642	0.8196	1.0000	0.694395	0.9969	1.0000	1.0000	1.0000	0.5842	0.6676	75010
L5	0.128808	1.0000	1.0000	0.5886	0.7631	0.8196	1.0000	0.694395	0.9969	1.0000	1.0000	1.0000	0.5842	0.8645	76000
L5	0.108683	1.0000	1.0000	0.5886	0.7629	0.8196	1.0000	0.694395	0.9969	1.0000	1.0000	1.0000	0.5842	0.9987	74995
chain24-t1	0.158882	1.0000	1.0000	0.4926	0.6170	0.7697	1.0000	0.742394	0.9999	1.0000	1.0000	1.0000	0.5684	0.6765	150447
L5	0.145718	1.0000	1.0000	0.9781	0.9885	0.9730	1.0000	0.763218	0.9940	1.0000	1.0000	1.0000	0.7186	0.4676	13552
L5	0.102228	1.0000	1.0000	0.9781	0.9883	0.9730	1.0000	0.764839	0.9940	1.0000	1.0000	1.0000	0.7186	0.7559	13311
L5	0.209957	1.0000	1.0000	0.9781	0.9884	0.9730	1.0000	0.778987	0.9940	1.0000	1.0000	1.0000	0.7186	0.0236	13543
relax24.t1	0.144778	1.0000	1.0000	0.9781	0.9929	0.9730	1.0000	0.764839	0.9940	1.0000	1.0000	1.0000	0.7186	0.4713	7928
relax24.t2	0.184809	1.0000	1.0000	0.9781	0.9913	0.9730	1.0000	0.764839	0.9940	1.0000	1.0000	1.0000	0.7186	0.2048	8144
relax24.t3	0.171880	1.0000	1.0000	0.9781	0.9936	0.9730	1.0000	0.778987	0.9940	1.0000	1.0000	1.0000	0.7186	0.2764	7575
L5	0.225568	1.0000	1.0000	0.9701	0.9944	0.9725	1.0000	0.776860	0.9976	1.0000	1.0000	1.0000	0.4966	0.0672	6329
L5	0.194962	1.0000	1.0000	0.6762	0.9737	0.8914	1.0000	0.676905	0.9980	1.0000	1.0000	1.0000	0.0000	0.7615	8612
L5	0.231413	1.0000	1.0000	0.9275	0.9923	0.9826	1.0000	0.816956	0.9955	1.0000	1.0000	1.0000	0.0000	0.3247	6651
L5	0.120558	1.0000	1.0000	0.5504	0.8761	0.8427	1.0000	0.643461	0.9865	1.0000	1.0000	1.0000	0.5684	0.9657	52160
L5	0.129392	1.0000	1.0000	0.5504	0.8766	0.8427	1.0000	0.682399	0.9969	1.0000	1.0000	1.0000	0.5684	0.8609	37814
L5	0.145363	1.0000	1.0000	0.5504	0.8729	0.8427	1.0000	0.636984	0.9865	1.0000	1.0000	1.0000	0.5684	0.8075	52378
L5	0.142152	1.0000	1.0000	0.6871	0.8773	0.8326	1.0000	0.720998	0.9939	1.0000	1.0000	1.0000	0.5588	0.7293	51941
L5	0.199579	1.0000	1.0000	0.9701	0.9908	0.9725	1.0000	0.776860	0.9976	1.0000	1.0000	1.0000	0.4966	0.2412	10756
L5	0.151276	1.0000	1.0000	0.9701	0.9901	0.9725	1.0000	0.776836	0.9976	1.0000	1.0000	1.0000	0.4966	0.5633	10997
L5	0.166859	1.0000	1.0000	0.9701	0.9905	0.9725	1.0000	0.776836	0.9976	1.0000	1.0000	1.0000	0.4966	0.4594	10669
